iter	Passed	Remaining
1356	3999	25475
1357	4002	25471
1358	4005	25468
1359	4008	25465
1360	4011	25463
1361	4014	25460
1362	4017	25456
1363	4020	25452
1364	4022	25448
1365	4025	25446
1366	4028	25442
1367	4031	25438
1368	4034	25434
1369	4037	25430
1370	4039	25427
1371	4042	25423
1372	4045	25420
1373	4048	25417
1374	4051	25413
1375	4054	25410
1376	4057	25407
1377	4060	25404
1378	4063	25400
1379	4066	25397
1380	4068	25394
1381	4071	25391
1382	4074	25388
1383	4077	25385
1384	4080	25382
1385	4083	25379
1386	4086	25375
1387	4089	25373
1388	4092	25371
1389	4095	25368
1390	4098	25365
1391	4101	25362
1392	4104	25359
1393	4107	25356
1394	4110	25352
1395	4112	25349
1396	4115	25345
1397	4118	25341
1398	4121	25339
1399	4124	25335
1400	4127	25332
1401	4130	25329
1402	4133	25326
1403	4136	25324
1404	4139	25320
1405	4142	25317
1406	4144	25314
1407	4147	25311
1408	4150	25309
1409	4153	25305
1410	4156	25302
1411	4159	25299
1412	4162	25296
1413	4165	25292
1414	4168	25288
1415	4171	25286
1416	4174	25282
1417	4176	25279
1418	4179	25276
1419	4182	25272
1420	4185	25269
1421	4188	25265
1422	4191	25262
1423	4194	25259
1424	4197	25255
1425	4200	25254
1426	4203	25250
1427	4205	25246
1428	4208	25243
1429	4211	25239
1430	4214	25237
1431	4217	25233
1432	4220	25230
1433	4223	25227
1434	4226	25223
1435	4228	25220
1436	4231	25217
1437	4234	25213
1438	4237	25209
1439	4240	25205
1440	4243	25202
1441	4246	25199
1442	4248	25196
1443	4251	25193
1444	4254	25190
1445	4257	25186
1446	4260	25183
1447	4263	25181
1448	4266	25178
1449	4269	25175
1450	4272	25171
1451	4275	25169
1452	4278	25167
1453	4281	25163
1454	4284	25160
1455	4287	25157
1456	4290	25154
1457	4293	25152
1458	4296	25149
1459	4298	25145
1460	4301	25142
1461	4304	25139
1462	4307	25137
1463	4310	25134
1464	4313	25131
1465	4316	25128
1466	4319	25124
1467	4322	25121
1468	4325	25118
1469	4328	25115
1470	4331	25112
1471	4334	25109
1472	4336	25106
1473	4339	25102
1474	4342	25098
1475	4345	25095
1476	4348	25092
1477	4351	25088
1478	4354	25085
1479	4357	25082
1480	4359	25079
1481	4362	25075
1482	4365	25072
1483	4368	25069
1484	4371	25066
1485	4374	25063
1486	4377	25059
1487	4380	25056
1488	4382	25052
1489	4385	25049
1490	4388	25046
1491	4391	25043
1492	4394	25039
1493	4397	25036
1494	4400	25033
1495	4403	25031
1496	4406	25028
1497	4409	25025
1498	4412	25021
1499	4414	25017
1500	4417	25015
1501	4420	25012
1502	4423	25008
1503	4426	25004
1504	4429	25000
1505	4432	24998
1506	4435	24995
1507	4438	24994
1508	4441	24991
1509	4444	24988
1510	4447	24986
1511	4450	24983
1512	4453	24980
1513	4456	24977
1514	4459	24973
1515	4462	24971
1516	4465	24968
1517	4467	24965
1518	4470	24961
1519	4473	24958
1520	4476	24955
1521	4479	24952
1522	4482	24949
1523	4485	24946
1524	4488	24943
1525	4491	24940
1526	4494	24937
1527	4497	24934
1528	4500	24931
1529	4503	24928
1530	4505	24925
1531	4508	24922
1532	4511	24919
1533	4514	24915
1534	4517	24911
1535	4520	24908
1536	4523	24905
1537	4526	24902
1538	4529	24899
1539	4531	24895
1540	4534	24893
1541	4537	24889
1542	4540	24886
1543	4543	24883
1544	4546	24881
1545	4549	24878
1546	4552	24875
1547	4555	24871
1548	4558	24868
1549	4561	24866
1550	4564	24863
1551	4566	24859
1552	4569	24856
1553	4572	24854
1554	4575	24851
1555	4578	24848
1556	4581	24845
1557	4584	24842
1558	4587	24839
1559	4590	24836
1560	4593	24833
1561	4596	24830
1562	4599	24826
1563	4602	24823
1564	4605	24820
1565	4607	24816
1566	4610	24813
1567	4613	24810
1568	4616	24807
1569	4619	24803
1570	4622	24800
1571	4625	24797
1572	4628	24793
1573	4631	24792
1574	4634	24789
1575	4637	24789
1576	4640	24786
1577	4643	24784
1578	4646	24781
1579	4649	24777
1580	4652	24774
1581	4655	24771
1582	4658	24767
1583	4661	24764
1584	4663	24761
1585	4666	24758
1586	4669	24755
1587	4672	24752
1588	4675	24748
1589	4678	24745
1590	4681	24742
1591	4684	24738
1592	4687	24735
1593	4689	24732
1594	4692	24728
1595	4695	24725
1596	4698	24722
1597	4701	24719
1598	4704	24717
1599	4707	24715
1600	4711	24715
1601	4714	24713
1602	4717	24711
1603	4720	24707
1604	4723	24704
1605	4726	24701
1606	4728	24698
1607	4731	24695
1608	4734	24693
1609	4738	24691
1610	4741	24689
1611	4744	24685
1612	4747	24682
1613	4749	24679
1614	4752	24676
1615	4755	24673
1616	4758	24670
1617	4761	24666
1618	4764	24663
1619	4767	24659
1620	4770	24656
1621	4772	24653
1622	4775	24649
1623	4778	24646
1624	4781	24643
1625	4784	24641
1626	4787	24638
1627	4790	24635
1628	4793	24633
1629	4796	24630
1630	4799	24627
1631	4802	24624
1632	4805	24620
1633	4808	24617
1634	4811	24614
1635	4814	24611
1636	4817	24609
1637	4819	24605
1638	4822	24602
1639	4825	24600
1640	4828	24597
1641	4831	24594
1642	4834	24591
1643	4837	24588
1644	4840	24584
1645	4843	24581
1646	4846	24580
1647	4850	24579
1648	4853	24578
1649	4856	24576
1650	4859	24573
1651	4862	24569
1652	4864	24566
1653	4867	24562
1654	4870	24559
1655	4873	24556
1656	4876	24553
1657	4879	24549
1658	4882	24545
1659	4884	24542
1660	4887	24539
1661	4890	24536
1662	4893	24532
1663	4896	24529
1664	4899	24525
1665	4902	24523
1666	4905	24520
1667	4908	24518
1668	4911	24514
1669	4913	24510
1670	4916	24507
1671	4919	24505
1672	4922	24501
1673	4925	24497
1674	4928	24494
1675	4931	24490
1676	4933	24487
1677	4936	24484
1678	4939	24480
1679	4942	24477
1680	4945	24474
1681	4948	24471
1682	4951	24469
1683	4954	24466
1684	4957	24463
1685	4960	24460
1686	4963	24456
1687	4966	24453
1688	4968	24449
1689	4971	24446
1690	4974	24442
1691	4977	24438
1692	4979	24435
1693	4983	24432
1694	4985	24429
1695	4988	24425
1696	4991	24422
